001XX N STATE ST,3338
0000X W TERMINAL ST,2793
008XX N MICHIGAN AVE,2737
076XX S CICERO AVE,2245
0000X N STATE ST,1934
008XX N STATE ST,1450
064XX S DR MARTIN LUTHER KING JR DR,1426
046XX W NORTH AVE,1222
009XX W BELMONT AVE,1207
063XX S DR MARTIN LUTHER KING JR DR,1203
051XX W MADISON ST,1177
040XX W LAKE ST,1142
033XX W FILLMORE ST,1033
083XX S STEWART AVE,1003
011XX S CANAL ST,990
011XX W WILSON AVE,937
035XX N CLARK ST,912
007XX N MICHIGAN AVE,904
042XX W MADISON ST,902
066XX S HALSTED ST,885
001XX W 87TH ST,884
006XX N MICHIGAN AVE,867
038XX W ROOSEVELT RD,856
012XX S WABASH AVE,832
0000X W HUBBARD ST,820
005XX N MICHIGAN AVE,795
071XX S JEFFERY BLVD,795
0000X W 79TH ST,783
002XX S STATE ST,764
065XX S DR MARTIN LUTHER KING JR DR,760
0000X W 95TH ST,759
009XX N MICHIGAN AVE,758
085XX S COTTAGE GROVE AVE,756
075XX S STONY ISLAND AVE,754
035XX S RHODES AVE,750
100XX W OHARE ST,737
062XX S DR MARTIN LUTHER KING JR DR,735
003XX S CICERO AVE,728
015XX N MILWAUKEE AVE,726
051XX W CHICAGO AVE,723
0000X S STATE ST,708
005XX N STATE ST,702
033XX N HALSTED ST,690
052XX W ADAMS ST,689
040XX W MADISON ST,681
005XX W OHARE ST,680
051XX S PULASKI RD,677
040XX W WILCOX ST,675
046XX N BROADWAY,662
001XX W LAKE ST,656
006XX E GRAND AVE,656
0000X W 69TH ST,642
0000X E CHICAGO AVE,640
017XX W HOWARD ST,640
039XX W ROOSEVELT RD,640
006XX W OHARE ST,638
0000X W WASHINGTON ST,635
013XX S CANAL ST,634
064XX S LOWE AVE,633
063XX S ASHLAND AVE,626
003XX N CENTRAL AVE,625
002XX S CANAL ST,624
0000X W DIVISION ST,621
0000X E GRAND AVE,615
039XX W MADISON ST,611
020XX N MILWAUKEE AVE,597
044XX N BROADWAY,597
021XX E 71ST ST,594
002XX W GARFIELD BLVD,591
001XX S STATE ST,589
057XX S CICERO AVE,588
0000X E ROOSEVELT RD,586
037XX W CHICAGO AVE,586
079XX S HALSTED ST,584
016XX W HOWARD ST,575
005XX W MADISON ST,574
004XX S STATE ST,573
078XX S SOUTH SHORE DR,571
011XX S STATE ST,561
087XX S BURLEY AVE,561
069XX S ASHLAND AVE,555
052XX W MADISON ST,554
070XX S ASHLAND AVE,553
078XX S HALSTED ST,551
002XX W 87TH ST,549
077XX S SOUTH SHORE DR,549
026XX N ELSTON AVE,543
096XX S MICHIGAN AVE,542
062XX S STONY ISLAND AVE,541
011XX N CLARK ST,540
0000X E JACKSON BLVD,537
055XX W NORTH AVE,526
031XX W MADISON ST,524
079XX S ASHLAND AVE,522
103XX S ELIZABETH ST,520
031XX N CLARK ST,517
052XX N SHERIDAN RD,513
037XX W ROOSEVELT RD,504
074XX S SOUTH SHORE DR,504
0000X N MICHIGAN AVE,500
012XX N CLARK ST,500
091XX S COMMERCIAL AVE,500
025XX W CERMAK RD,499
044XX W MONROE ST,497
062XX S ASHLAND AVE,497
020XX W CHICAGO AVE,493
049XX S ARCHER AVE,493
021XX E 87TH ST,491
055XX W GRAND AVE,491
004XX N STATE ST,489
016XX W 59TH ST,485
049XX N MILWAUKEE AVE,485
050XX S KEDZIE AVE,485
012XX S ASHLAND AVE,482
013XX N HUDSON AVE,482
0000X E RANDOLPH ST,476
014XX N SEDGWICK ST,476
031XX S ASHLAND AVE,476
005XX W ROOSEVELT RD,475
048XX W NORTH AVE,475
051XX W NORTH AVE,474
061XX S DR MARTIN LUTHER KING JR DR,473
064XX W FULLERTON AVE,470
034XX N HALSTED ST,469
003XX S STATE ST,468
045XX W NORTH AVE,467
007XX E 79TH ST,466
005XX S STATE ST,465
054XX S WENTWORTH AVE,465
036XX N HALSTED ST,461
0000X W 87TH ST,459
010XX W ADDISON ST,459
001XX N LAPORTE AVE,458
030XX S DR MARTIN LUTHER KING JR DR,456
012XX S INDEPENDENCE BLVD,455
007XX E 111TH ST,454
001XX N MICHIGAN AVE,448
039XX W GLADYS AVE,447
002XX N MICHIGAN AVE,446
034XX N CLARK ST,445
006XX N DEARBORN ST,444
009XX W FULLERTON AVE,442
0000X E MONROE ST,441
015XX N KINGSBURY ST,440
002XX W 63RD ST,439
086XX S COTTAGE GROVE AVE,439
003XX E 47TH ST,437
017XX W PRYOR AVE,437
056XX W CHICAGO AVE,437
063XX S HALSTED ST,436
048XX W MONROE ST,434
001XX W 35TH ST,432
022XX N LINCOLN AVE,432
008XX S STATE ST,429
082XX S ELLIS AVE,429
036XX W LEXINGTON ST,428
041XX W MADISON ST,428
068XX S PERRY AVE,425
045XX N SHERIDAN RD,424
076XX S COLES AVE,424
088XX S BURLEY AVE,424
001XX E CHICAGO AVE,422
001XX E WACKER DR,420
111XX S MICHIGAN AVE,420
036XX N MILWAUKEE AVE,419
012XX N MILWAUKEE AVE,417
034XX S DR MARTIN LUTHER KING JR DR,417
067XX S EAST END AVE,417
046XX W IRVING PARK RD,416
039XX W JACKSON BLVD,414
047XX W IRVING PARK RD,414
002XX N PINE AVE,413
006XX W HARRISON ST,413
007XX N TRUMBULL AVE,413
076XX S KINGSTON AVE,413
0000X E LAKE ST,411
023XX W JACKSON BLVD,411
024XX W 63RD ST,411
050XX W MADISON ST,411
010XX W LAWRENCE AVE,409
034XX W MADISON ST,409
008XX E 79TH ST,408
045XX N BROADWAY,408
006XX N CLARK ST,406
045XX S DREXEL BLVD,406
050XX S LAFLIN ST,406
066XX S WESTERN AVE,405
065XX W BRYN MAWR AVE,404
071XX S WESTERN AVE,404
029XX W HARRISON ST,403
033XX W MAYPOLE AVE,401
010XX W BELMONT AVE,400
077XX S INGLESIDE AVE,400
040XX W JACKSON BLVD,399
020XX E 71ST ST,396
067XX S JEFFERY BLVD,396
054XX W MADISON ST,395
077XX S KINGSTON AVE,395
014XX S CANAL ST,394
068XX S NORMAL BLVD,394
036XX S RHODES AVE,393
056XX W MADISON ST,393
015XX N DAMEN AVE,392
071XX S ASHLAND AVE,390
072XX S SOUTH SHORE DR,389
003XX W CHICAGO AVE,385
046XX W DIVERSEY AVE,384
041XX W WILCOX ST,383
080XX S COTTAGE GROVE AVE,383
0000X E MADISON ST,381
079XX S LAFAYETTE AVE,381
031XX W HARRISON ST,379
063XX S COTTAGE GROVE AVE,379
013XX W 76TH ST,378
039XX W 79TH ST,378
081XX S VINCENNES AVE,378
056XX S WABASH AVE,377
002XX E HURON ST,376
002XX W 103RD ST,374
071XX S STATE ST,374
001XX S MICHIGAN AVE,373
080XX S ELLIS AVE,373
087XX S STONY ISLAND AVE,373
044XX S DREXEL BLVD,371
057XX S MICHIGAN AVE,371
060XX N BROADWAY,371
079XX S EXCHANGE AVE,370
035XX W ROOSEVELT RD,368
050XX W WASHINGTON BLVD,367
016XX S HOMAN AVE,366
081XX S DREXEL AVE,366
011XX S CLARK ST,365
059XX S MORGAN ST,364
063XX S KEDZIE AVE,364
053XX W MADISON ST,363
001XX N CENTRAL AVE,362
075XX S KINGSTON AVE,362
002XX S MICHIGAN AVE,361
004XX S PULASKI RD,361
078XX S ESSEX AVE,361
087XX S STATE ST,361
040XX W 26TH ST,360
003XX N MICHIGAN AVE,359
006XX S STATE ST,359
004XX E 63RD ST,358
076XX N SHERIDAN RD,358
014XX S MUSEUM CAMPUS DR,357
056XX W WASHINGTON BLVD,357
068XX S ASHLAND AVE,356
047XX S UNION AVE,355
062XX S WESTERN AVE,355
073XX S SOUTH SHORE DR,354
004XX W DIVISION ST,351
005XX S PULASKI RD,351
034XX W WILSON AVE,351
083XX S COTTAGE GROVE AVE,351
009XX E 79TH ST,350
023XX W LOGAN BLVD,350
002XX N STATE ST,349
007XX N RIDGEWAY AVE,349
040XX W ROOSEVELT RD,349
052XX W QUINCY ST,349
038XX W MONROE ST,347
046XX N SHERIDAN RD,347
079XX S COTTAGE GROVE AVE,347
008XX E 103RD ST,346
009XX N HAMLIN AVE,346
009XX N ST LOUIS AVE,344
023XX W MADISON ST,344
049XX W HUBBARD ST,344
030XX W MADISON ST,342
052XX W CONGRESS PKWY,342
020XX W 63RD ST,341
002XX W ONTARIO ST,340
011XX N WESTERN AVE,340
049XX W FERDINAND ST,340
053XX W CHICAGO AVE,339
062XX S MICHIGAN AVE,339
0000X E ADAMS ST,338
011XX S FRANCISCO AVE,338
026XX E 79TH ST,338
033XX N WESTERN AVE,338
